ilanBasligi,adres,il,fiyat(TRY),ilanID,ilanTarihi,marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,motorHacmi(Cc),motorGucu(HP),cekisTipi,boyaParcaDurumu,takasUygunluk,saticiTuru,aracVergisi(TRY),hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı
Sahibinden Renault Symbol 1.5 dCi Expression 2012 Model 150.000 km Gri (Gümüş),Akşemsettin Mh. Eyüpsultan,İstanbul,460.000 TL,28761289,08 Nisan 2025,Renault,Symbol,1.5 dCi Expression Plus,150.000 km,2012.0,Düz,Dizel,Sedan,Gri (Gümüş),1461 cc,65 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,tutarı belirtilmemiş,13,0,0,0,0
Sahibinden Dost işi masrafsız Broadway Açıklamayı okuyunuz.,Beyazıt Mh. Merkez,Afyonkarahisar,260.000 TL,28711493,08 Nisan 2025,Renault,R 9,1.4 Broadway RN,102.658 km,1999.0,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,436,,0,0,0,0,13
Sahibinden Renault Fluence 1.5 dCi Icon 2016 Model,Atapark Mh. Keçiören,Ankara,650.000 TL,28728671,09 Nisan 2025,Renault,Fluence,1.5 dCi Icon,265.000 km,2016.0,Düz,Dizel,Sedan,Kahverengi,1461 cc,110 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,13.000,0,0,0,0,13
Sahibinden konfor abidesi Lansman renkli Renault Laguna2 faz2 1.6 Privilege,Atapark Mh. Keçiören,Ankara,500.000 TL,28721285,09 Nisan 2025,Renault,Laguna,1.6 Privilege,250.000 km,2006.0,Düz,LPG & Benzin,Hatchback/5,Kahverengi,1598 cc,115 hp,Önden Çekiş,Orjinal  Arka Kaput  Sol Arka Çamurluk  Tavan  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  Sol Arka Kapı  Sol Ön Kapı  Boyalı  Sağ Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sağ Ön Çamurluk  Sol Ön Çamurluk  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,436,4.000,6,2,5,0,0
Sahibinden Renault Fluence 1.5 dCi Business 2012 Model,Serinyol Mh. Antakya,Hatay,575.000 TL,28720515,08 Nisan 2025,Renault,Fluence,1.5 dCi Business,250.000 km,2012.0,Düz,Dizel,Sedan,Gri,1461 cc,90 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,0,0,13
Sahibinden Renault Clio 1.0 SCe Joy 2020 Model,Osmaniye Mh. Bakırköy,İstanbul,628.000 TL,28766470,09 Nisan 2025,Renault,Clio,1.0 SCe Joy,120.000 km,2020.0,Düz,Benzin,Hatchback/5,Gri (Gümüş),999 cc,72 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,tutarı yok,13,0,0,0,0
Sahibinden Renault Megane 1.5 dCi Extreme 2009 Model İstanbul,Fevzi Çakmak Mh. Pendik,İstanbul,490.000 TL,28718959,08 Nisan 2025,Renault,Megane,1.5 dCi Extreme,203.000 km,2009.0,Otomatik,Dizel,Sedan,Gri,1461 cc,100 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Arka Kapı  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun Değil,,,3.500,0,1,0,0,12
Öğretmenden temiz Renault Fluence 1.5 dCi Joy 2013 Model,Uluyol Mh. Doğubayazıt,Ağrı,535.000 TL,28747267,09 Nisan 2025,Renault,Fluence,1.5 dCi Joy,272.000 km,2013.0,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  Sol Ön Çamurluk  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,,12,1,0,0,0
Sahibinden Renault R 21 2.0 Concorde 1993 Model,Gökçeyurt Mh. Mamak,Ankara,145.000 TL,28730514,09 Nisan 2025,Renault,R 21,2.0 Concorde,238.558 km,1993.0,Düz,LPG & Benzin,Sedan,Bej,1995 cc,105 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,0,13
Sahibinden 85 Binde Renault Symbol 1.2 2015 Model,Bahçelievler Mh. Altıeylül,Balıkesir,535.000 TL,28757745,08 Nisan 2025,Renault,Symbol,1.2 Joy,85.000 km,2015.0,Düz,Benzin,Sedan,Beyaz,1149 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  Motor Kaputu  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun Değil,,,13.000,0,0,0,1,12
Sahibinden Renault Fluence 1.5 dCi Extreme 2011 Model,Kanuni Mh. Keçiören,Ankara,610.000 TL,28734114,09 Nisan 2025,Renault,Fluence,1.5 dCi Extreme,226.000 km,2011.0,Düz,Dizel,Sedan,Gri,1461 cc,105 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sol Arka Çamurluk  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,1.135,tutarı yok,12,1,0,0,0
KAPORA ALINDI 10.04.2025,Yalı Mh. Erdek,Balıkesir,465.000 TL,28730973,09 Nisan 2025,Renault,Clio,1.2 Joy,219.000 km,2013.0,Düz,Benzin,Hatchback/5,Kırmızı,1149 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Değişmiş  Sağ Ön Çamurluk  Ön Tampon  Belirtilmemiş  Tavan  Arka Tampon,Takasa Uygun Değil,,623,tutarı yok,0,0,9,2,2
Sahibinden Renault R 9 1.4 Broadway RNi 1999 Model,Mithatpaşa Mh. Seyhan,Adana,218.000 TL,28718584,08 Nisan 2025,Renault,R 9,1.4 Broadway RNi,245.000 km,1999.0,Düz,LPG & Benzin,Sedan,Beyaz,1397 cc,72 hp,Önden Çekiş,Orjinal  Tavan  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Değişmiş  -  Belirtilmemiş  -,,,436,tutarı yok,1,0,12,0,0
Sahibinden Renault Symbol 1.5 dCi Touch 2014 Model,Malkoçoğlu Mh. Sultangazi,İstanbul,530.000 TL,28765340,07 Nisan 2025,Renault,Symbol,1.5 dCi Touch,225.000 km,2014.0,Düz,Dizel,Sedan,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,tutarı yok,0,0,0,0,13
Sahibinden Renault Symbol 1.5 dCi Joy 2017 Model 223.000 km Beyaz,Kurtuluş Mh. Gönen,Balıkesir,530.000 TL,28765242,07 Nisan 2025,Renault,Symbol,1.5 dCi Joy,223.000 km,2017.0,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,Orjinal  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sağ Ön Çamurluk  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Motor Kaputu  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sol Ön Kapı  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,328,9,1,3,0,0
Sahibinden Renault Fluence 1.5 dCi Touch 2015 Model,Akdere Mh. Mamak,Ankara,689.000 TL,28765190,07 Nisan 2025,Renault,Fluence,1.5 dCi Touch,194.000 km,2015.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sol Arka Kapı  Değişmiş  -  Belirtilmemiş  Sol Arka Çamurluk  Sağ Ön Kapı  Tavan  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,13.000,0,0,4,0,9
Sahibinden Renault Laguna 2.0 Dynamique 2004 Model 340.000 km Füme,Boztepe Mh. Kocasinan,Kayseri,250.000 TL,28765143,07 Nisan 2025,Renault,Laguna,2.0 Dynamique,340.000 km,2004.0,Düz,Benzin,Hatchback/5,Füme,1998 cc,140 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Tavan  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Sol Ön Çamurluk  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,tutarı yok,7,0,6,0,0
Sahibinden Renault R 12 SW 1977 Model,Fevzi Çakmak Mh. Torbalı,İzmir,160.000 TL,28764876,07 Nisan 2025,Renault,R 12,SW,250.000 km,1977.0,Düz,LPG & Benzin,Station wagon,Yeşil,1300 cc,60 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,,,0,0,0,0,13
Sahibinden Renault Clio 1.4 Alize 2005 Model,Mimarsinandemokrasi Mh. Melikgazi,Kayseri,295.000 TL,28764784,07 Nisan 2025,Renault,Clio,1.4 Alize,283.000 km,2005.0,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,0,0,13
Sahibinden Renault Clio 1.5 dCi SportTourer Joy 2016 Model Van,Şükrüpaşa Mh. Merkez,Edirne,625.000 TL,28764787,07 Nisan 2025,Renault,Clio,1.5 dCi SportTourer Joy,98.000 km,2016.0,Düz,Dizel,Station wagon,Beyaz,1461 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sol Ön Kapı  Sol Ön Çamurluk  Değişmiş  Sol Arka Çamurluk  Sol Arka Kapı  Ön Tampon  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sağ Ön Çamurluk  Motor Kaputu  Arka Tampon,,Sahibinden,,60.000,0,0,2,3,8
Sahibinden Renault Symbol 1.2 Expression 2009 Model Antalya,Cikcilli Mh. Alanya,Antalya,430.000 TL,28764604,07 Nisan 2025,Renault,Symbol,1.2 Expression,178.000 km,2009.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1149 cc,75 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Lokal boyalı  -  Boyalı  Sağ Arka Kapı  Sağ Ön Kapı  Değişmiş  -  Belirtilmemiş  Ön Tampon  Arka Tampon,,,219,tutarı yok,9,0,2,0,2
KVK Otomotiv'den 2012 Clio Grandtour Extreme 1.5 dCI,Abdurrahmangazi Mh. Sultanbeyli,İstanbul,400.000 TL,28807821,07 Nisan 2025,Renault,Clio,1.5 dCi Grandtour Extreme,313.000 km,2012.0,Düz,Dizel,Station wagon,Kahverengi,1461 cc,90 hp,Önden Çekiş,Orjinal  Tavan  Sol Ön Kapı  Lokal boyalı  Arka Kaput  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Motor Kaputu  Değişmiş  -  Belirtilmemiş  Sağ Ön Çamurluk  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,,1.135,50.000,2,1,6,0,4
Galeriden Renault R 9 1.4 Broadway 1992 Model Mersin,Merkez Mh. Erdemli,Mersin,180.000 TL,28809760,07 Nisan 2025,Renault,R 9,1.4 Broadway,340.000 km,1992.0,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Galeriden,436,,0,0,0,0,13
Sahibinden Renault Symbol 0.9 Joy 2020 Model,İbrahim Hakkı Mh. Yakutiye,Erzurum,650.000 TL,28764337,07 Nisan 2025,Renault,Symbol,0.9 Joy,92.000 km,2020.0,Düz,Benzin,Sedan,Beyaz,898 cc,90 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,tutarı yok,13,0,0,0,0
Sahibinden Renault Clio 1.2 Icon 2015 Model,Ortahisar Mh. Ortahisar,Trabzon,593.000 TL,28731523,07 Nisan 2025,Renault,Clio,1.2 Icon,199.780 km,2015.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1149 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun Değil,,826,25.000,0,0,0,0,13
Sahibinden Temiz Renault Megane 1.6 Dynamique 2004 Model,Hacı Abdi Mh. Battalgazi,Malatya,390.000 TL,28747082,07 Nisan 2025,Renault,Megane,1.6 Dynamique,256.000 km,2004.0,Düz,LPG & Benzin,Sedan,Yeşil,1598 cc,115 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Arka Kaput  Boyalı  Arka Tampon  Değişmiş  Sağ Arka Kapı  Belirtilmemiş  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon,,Sahibinden,,15.000,0,1,1,1,10
Sahibinden Renault Clio 1.5 dCi SportTourer Joy 2014 Model,Süleymaniye Mh. Esenyurt,İstanbul,580.000 TL,28764097,07 Nisan 2025,Renault,Clio,1.5 dCi SportTourer Joy,165.000 km,2014.0,Düz,Dizel,Station wagon,Beyaz,1461 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Değişmiş  -  Belirtilmemiş  Arka Kaput  Tavan  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,6.000,0,0,6,0,7
Hatasız Boyasız Degişensiz 2015 ekstralı full bakımlı,Köprübaşı Mh. Serdivan,Sakarya,625.000 TL,28763183,07 Nisan 2025,Renault,Symbol,1.5 dCi Joy,122.000 km,2015.0,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,,Sahibinden,,tutarı yok,13,0,0,0,0
Sahibinden Renault Megane 1.5 dCi Privilege 2006 Model,Oba Mh. Alanya,Antalya,430.000 TL,28763989,07 Nisan 2025,Renault,Megane,1.5 dCi Privilege,243.000 km,2006.0,Düz,Dizel,Sedan,Siyah,1461 cc,106 hp,Önden Çekiş,Orjinal  Tavan  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,Bu araç ağır hasar kayııdır.,1,0,12,0,0
Sahibinden Renault Megane 2 HB 2003 Model,Gündoğdu Mh. İzmit,Kocaeli,440.000 TL,28712133,07 Nisan 2025,Renault,Megane,1.9 dCi Privilege,176.000 km,2003.0,Düz,Dizel,Hatchback/5,Yeşil (metalik),1870 cc,120 hp,Önden Çekiş,Orjinal  Arka Kaput  Sağ Arka Kapı  Tavan  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Lokal boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Ön Kapı  Sol Arka Kapı  Sağ Ön Çamurluk  Arka Tampon  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,1.198,tutarı yok,7,6,0,0,0
Sahibinden Renault Symbol 1.5 dCi Joy 2015 Model,Atilla Mh. Konak,İzmir,295.000 TL,28802448,07 Nisan 2025,Renault,Symbol,1.5 dCi Joy,755.000 km,2015.0,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,0,0,13
Sahibinden Renault Laguna 1.5 dCi Dynamique 2011 Model,Tepebaşı Mh. Kızıltepe,Mardin,435.000 TL,28763914,07 Nisan 2025,Renault,Laguna,1.5 dCi Dynamique,276.985 km,2011.0,Düz,Dizel,Hatchback/5,Füme,1461 cc,110 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sol Arka Çamurluk  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,tutarı belirtilmemiş,0,0,4,0,9
Sahibinden Renault Symbol 1.4 Extreme 2008 Model,Emek Mh. Odunpazarı,Eskişehir,425.000 TL,27149982,07 Nisan 2025,Renault,Symbol,1.4 Extreme,199.000 km,2008.0,Düz,LPG & Benzin,Sedan,Gri (titanyum),,,,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,1.200,13,0,0,0,0
Sahibinden Renault Megane 1.6 Joy 2017 Model,Karaova Mh. Kuşadası,Aydın,870.000 TL,28807994,07 Nisan 2025,Renault,Megane,1.6 Joy,114.850 km,2017.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,1.450,13,0,0,0,0
Sahibinden Renault Clio 1.2 Authentique 2007 Model,Menderes Mh. Sincan,Ankara,455.000 TL,28763577,07 Nisan 2025,Renault,Clio,1.2 Authentique,143.000 km,2007.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1149 cc,65 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Arka Çamurluk  Boyalı  -  Değişmiş  Arka Tampon  Belirtilmemiş  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon,,Sahibinden,,tutarı yok,0,1,0,1,11
Sahibinden Renault Symbol 1.5 dCi Expression 2011 Model,Selvilitepe Mh. Turgutlu,Manisa,460.000 TL,27851829,07 Nisan 2025,Renault,Symbol,1.5 dCi Expression,160.000 km,2011.0,Düz,Dizel,Sedan,Gri,1461 cc,85 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sağ Ön Çamurluk  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  Sol Arka Çamurluk  Sol Ön Çamurluk  Boyalı  Sol Ön Kapı  Değişmiş  Sol Arka Kapı  Belirtilmemiş  -,Takasa Uygun Değil,,1.135,12.000,9,2,1,1,0
Sahibinden Renault Symbol 1.5 dCi Joy 2014 Model,Ekinci Mh. Antakya,Hatay,425.000 TL,28763503,07 Nisan 2025,Renault,Symbol,1.5 dCi Joy,300.242 km,2014.0,Düz,Dizel,Sedan,Beyaz,1461 cc,75 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,0,0,13
TESLA EKRANLI GERİ GÖRÜŞ KAMERALI Renault Megane 1.3 TCe Joy 2019 Model,Çamlıtepe Mh. Körfez,Kocaeli,845.000 TL,28808157,07 Nisan 2025,Renault,Megane,1.3 TCe Joy,164.000 km,2019.0,Düz,Benzin,Sedan,Gri (titanyum),1332 cc,140 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Arka Çamurluk  Boyalı  Sağ Arka Kapı  Değişmiş  -  Belirtilmemiş  Arka Kaput  Sol Arka Çamurluk  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,1,1,0,11
